,label,amount,day,day_id,month,month_id,year,type
178,Pai Lombarderie,3.3,Lundi 2,2,Décembre,12,2024,CARD_PAYMENT
179,E.Leclerc,9.34,Lundi 2,2,Décembre,12,2024,CARD_PAYMENT
180,E.Leclerc,6.29,Lundi 2,2,Décembre,12,2024,CARD_PAYMENT
181,E.Leclerc,8.38,Mardi 3,3,Décembre,12,2024,CARD_PAYMENT
184,E.Leclerc,23.73,Jeudi 5,5,Décembre,12,2024,CARD_PAYMENT
185,Hyper U,11.16,Vendredi 6,6,Décembre,12,2024,CARD_PAYMENT
186,Les Hameaux Bio 5,58.01,Vendredi 6,6,Décembre,12,2024,CARD_PAYMENT
187,DIS'Automatic,0.8,Vendredi 6,6,Décembre,12,2024,CARD_PAYMENT
188,E.Leclerc,15.75,Samedi 7,7,Décembre,12,2024,CARD_PAYMENT
189,Jodi,19.44,Dimanche 8,8,Décembre,12,2024,CARD_PAYMENT
190,Get Up,12.0,Samedi 7,7,Décembre,12,2024,CARD_PAYMENT
191,Burger King,37.14,Samedi 7,7,Décembre,12,2024,CARD_PAYMENT
192,E.Leclerc,13.95,Lundi 9,9,Décembre,12,2024,CARD_PAYMENT
193,The Coffee House,9.0,Mardi 10,10,Décembre,12,2024,CARD_PAYMENT
194,Canaille CafÃ©,5.5,Mardi 10,10,Décembre,12,2024,CARD_PAYMENT
195,Canaille CafÃ©,7.5,Mardi 10,10,Décembre,12,2024,CARD_PAYMENT
196,Unan Regie30 Sum,7.95,Jeudi 12,12,Décembre,12,2024,CARD_PAYMENT
197,E.Leclerc,2.0,Vendredi 13,13,Décembre,12,2024,CARD_PAYMENT
198,E.Leclerc,2.0,Vendredi 13,13,Décembre,12,2024,CARD_PAYMENT
199,Pai Lombarderie,3.3,Vendredi 13,13,Décembre,12,2024,CARD_PAYMENT
200,Les Hameaux Bio 5,42.8,Samedi 14,14,Décembre,12,2024,CARD_PAYMENT
201,Carrefour,8.83,Samedi 14,14,Décembre,12,2024,CARD_PAYMENT
202,Carrefour,44.0,Samedi 14,14,Décembre,12,2024,CARD_PAYMENT
203,Open Bloc,4.2,Dimanche 15,15,Décembre,12,2024,CARD_PAYMENT
204,Open Bloc,14.0,Dimanche 15,15,Décembre,12,2024,CARD_PAYMENT
206,Papaia,14.0,Samedi 14,14,Décembre,12,2024,CARD_PAYMENT
207,Fnac,4.99,Samedi 14,14,Décembre,12,2024,CARD_PAYMENT
208,E.Leclerc,8.04,Mercredi 18,18,Décembre,12,2024,CARD_PAYMENT
209,E.Leclerc,8.35,Jeudi 19,19,Décembre,12,2024,CARD_PAYMENT
211,The Cornishman,7.0,Vendredi 20,20,Décembre,12,2024,CARD_PAYMENT
212,Pai Lombarderie,3.3,Vendredi 20,20,Décembre,12,2024,CARD_PAYMENT
213,Canaille CafÃ©,7.5,Vendredi 20,20,Décembre,12,2024,CARD_PAYMENT
214,Les Hameaux Bio 5,54.64,Vendredi 20,20,Décembre,12,2024,CARD_PAYMENT
215,E.Leclerc,12.12,Vendredi 20,20,Décembre,12,2024,CARD_PAYMENT
216,Super U,5.85,Samedi 21,21,Décembre,12,2024,CARD_PAYMENT
218,E.Leclerc,17.35,Lundi 30,30,Décembre,12,2024,CARD_PAYMENT
